,Unnamed: 0,review,Lemma,Polarity,Analysis,typeof,speaker
0,0,ok exactli girl,  ok exactly girl,0.375,Positive,Statement,Speaker_1
1,1,final keyword becom y17 featur 75233 noth way whi give patient ha ha one person direct indirect object subject ani accid write well enough instructor great enabl hour second portion tangl ever 12 question whi wa tell stain whi interest effort avoid visit request one anoth brilliant engin use one take time tomorrow find smile renew everi day sex youll ever yet find befor program find last week still cant come week awar advis come week taken begin second dont instruct ga exampl class go three week name enhanc end second third week lil bit difficult enough enter class insert queri activ movi free download sinc dont write begin becaus dont allow know confirm date wrong abl find analysi contractor neon 150 mai ke mai last two week decemb session first visit ani resist visit bomb tabl difficult last week outta head request server quest januari session start group begin session wa easi feel floor class 12 ground wa financ option,  finally keyword become feature nothing way give patient one person direct indirect object subject accident writing well enough instructor great enable hour second portion Tangled ever question tell stain interested effort avoid visit request one another brilliant engineering use one take time tomorrow find smile renew every day sex ever yet find program find last week still come week aware advise come week take beginning second instruction gas example class go three week name enhance end second third week Lil bit difficult enough enter class insert query activate movie free download since write beginning allow know confirm date wrong able find analysis contractor neon Mai Ke Mai last two week December session first visit resistance visit bomb table difficult last week Outta Head request server quest January session start group beginning session easy feel floor class ground financing option,0.1048611111111111,Positive,Clarify,Speaker_1
2,2,earli man sex neat ever one befor program find last four week incom week awar advis come week taken begin season dont instruct ga exampl class go three week name inhabit new arriv end second third week difficult enough enter class away princess dont cri begin becaus allow open form date wrong happen analysi instructor near 100 km km last two week decemb session first visit ani resist visit bomb wa wa difficult last week dont head request server quest januari session start west group begin session wa easi feel floor class 12 ground ball finish option take host famili home governor oaxaca base price 11 hour day night equal 5 room breakfast near onlin without itna hotel home hasnt work mofo commun peopl get know becaus way help anoth class 2 class 7 famili wish aadami highest pay 24 hour day come larg medium everyon 14 hour befor alamillo famili purpos invest new light weight even happen 73099 doe use simpl form inform weather possibl come visit even dont enough time come whatsapp think thi,  early man sex neat ever one program find last four week income week aware advise come week take beginning season instruction gas example class go three week name inhabit new arrive end second third week difficult enough enter class away princess cry beginning allow open form date wrong happen analysis instructor near km km last two week December session first visit resistance visit bomb difficult last week head request server quest January session start west group beginning session easy feel floor class ground ball finish option take host family home Governor oaxaca base price hour day night equal room breakfast near online without Itna hotel home work mofo communicate people get know way help another class Class family wish aadami high pay hour day come large medium everyone hour alamillo family purpose invest new light weight even happen use simple form inform weather possible come visit even enough time come WhatsApp thinking,-0.0007559107559107,Negative,Clarify,Speaker_1
3,3,long program find last week incom week awar advis come week begin second dont instruct ga class go three week name inhabit end second third week difficult enough interest concept satna veri creativ 1 week sinc write begin becaus allow open form date happen hear call time saw funnel assist director indian breakfast last week decemb session first week 17 januari session visit bomb wa bit difficult learn wait know head equat quest januari session start west group begin session wa easi feel floor class 12 ground rule influenc veer453 versu take host famili home way go hear ep 11 hour today equal 5 breakfast minut file return onlin without thi itna hotel home matter fact commun peopl get know coffe wa born home classf 2011 classf veri nice famili wa three year aadami highest pay 24 hour day commit larg mid day meal everyon 14 hour befor alamillo famili process light weight even happen 73099 lesson 2 tower simpl form form weather possibl come clean,  long program find last week income week aware advise come week beginning second instruction gas class go three week name inhabit end second third week difficult enough interesting concept Satna creative week since write beginning allow open form date happen hear call time saw funnel assistant director Indian breakfast last week December session first week January session visit bomb bit difficult learn wait know head equation Quest January session start west group beginning session easy feel floor class ground rule influence veer versus take host family home way go hear EP hour today equal breakfast minute file return online without Itna hotel home matter fact communicate people get know coffee bear home classf classf nice family three year aadami high pay hour day commit large mid day meal everyone hour alamillo family process light weight even happen Lesson tower simple form form weather possible come clean,0.109345238095238,Positive,Clarify,Speaker_1
4,4,happen take host famili home go hear ep 11 hour today equal 5 breakfast 2009 thi itna hotel home matter fact commun peopl get know coffe wa born class goa train famou 3 year wish aadami highest pay 24 hour day commit work 1 14 dollar allah miya famili process light weight even happen 730 1 hour simpl form form weather seen possibl come clean,  happen take host family home go hear EP hour today equal breakfast Itna hotel home matter fact communicate people get know coffee bear class Goa train famous year wish aadami high pay hour day commit work dollar Allah Miya family process light weight even happen hour simple form form weather see possible come clean,0.2038095238095238,Positive,Clarify,Speaker_1
5,5,repeat vegetarian,  repeat vegetarian,0.0,Neutral,Statement,Speaker_1
6,6,ok favourit shop cook everyth incorpor program,  OK favourite shopping cooking everything incorporate program,0.5,Positive,Accept,Speaker_1
7,7,ani inform pressur,  information pressure,0.0,Neutral,Statement,Speaker_1
8,8,ok ok name richard gana dress,  ok ok name Richard gana dress,0.5,Positive,Accept,Speaker_1
9,9,micromax 1602 hurst avenu h e r p valu berkeley california,  Micromax hurst Avenue h e r p value Berkeley California,0.0,Neutral,Clarify,Speaker_1
10,10,7311, ,0.0,Neutral,Statement,Speaker_1
11,11,dog partner dog,  dog partner dog,0.0,Neutral,Statement,Speaker_1
12,12,kais ho,  kaise ho,0.0,Neutral,Statement,Speaker_1
13,0,intens program design ask special focu settl 1986 audit extens 7 hour contact even studi effort morn austria visa extens follow immedi group convers famou doctor class extens garden event institut go current carri pictur democrat break lunch sweet complet instruct instead textbook infinix s5 interact done auto workshop back weav cook oil hair colour home without hattori larg group offer offer protein 2 hour day monday thursday new releas place materi craft place facilit spanish languag acquisit help project belief use link given opportun retent come tomorrow vocabulari experi last hour degre 8 hour 4 hour chameleon oaxaca come institut one one one accommod still awak institut english speak english benga nativ languag half time initi offer next week wax firm adequ represent includ packag also offer advic weekend 20723812 get indigen marketplac craft flower becom home featur,  intensive program design ask special focus settle audit extension hour contact even study effort morning Austria visa extension follow immediately group conversation famous doctor class extensive Gardens event institute go current carry picture Democratic break lunch sweet complete instruction instead textbook infinix interaction do auto workshop back weave cooking oil hair colour home without Hattori large group offer offer protein hour day Monday Thursday new release place material craft place facilitate Spanish language acquisition help project belief use link give opportunity retention come tomorrow vocabulary experience last hour degree hour hour Chameleon oaxaca come institution one one one accommodation still awake institute English speak English Benga native language half time initiative offer next week wax firm adequate representation include package also offer advice weekend get indigenous marketplace craft flower become home feature,0.0955564043799338,Positive,Clarify,Speaker_0
14,1,7522 beginn way ha someth everi whi give replac ha ha one person direct indirect object subject ani accid write well afternoon attract great enabl hour second portion channel david 12 question whi wa tell stand whi interest effort avoid visit place anoth brilliant engin use one one take fine tune isha acid anyth review 21 befor thi program design last week still cant come way cafe advis come week taken begin surfac dont instruct gap exampl class go three week name inhabit end second third week lil bit difficult enough move veri activ movi free download sinc write begin becaus dont allow open form date abl find assist director indian breakfast last week decemb session first week 17 januari session visit bomb wa bit difficult learn wait know head request server quest januari session start group begin session wa easi feel floor class 12 pg infanc servic offer option take home base price 11 hour day access privat room breakfast near nagpuri 2002 onlin without itna hotel home matter fact commun peopl get know coffe way peopl class goa train famou 3 year wish aadami highest pay 24 hour day commit virgin mean everyon 14 hour food allah miya famili process light,  beginner way something every give replacement one person direct indirect object subject accident writing well afternoon attractive great enable hour second portion channel David question tell stand interested effort avoid visit place another brilliant engineering use one one take fine tune Isha acidic anything review program design last week still come way Cafe advise come week take beginning surface instruction gap example class go three week name inhabit end second third week Lil bit difficult enough move activate movie free download since write beginning allow open form date able find assistant director Indian breakfast last week December session first week January session visit bomb bit difficult learn wait know head request server quest January session start group beginning session easy feel floor class PG infancy service offer option take home base price hour day access private room breakfast near Nagpuri online without Itna hotel home matter fact communicate people get know coffee way people class Goa train famous year wish aadami high pay hour day commit virginity mean everyone hour food Allah Miya family process light,0.138179012345679,Positive,Clarify,Speaker_0
15,2,maximum accord person cannot never befor sex youll ever 21 befor thi program design last week still cant come weekend away advis come week taken begin surfac dont instruct ga exampl class go three week name inhabit end second third week lil bit difficult enough enter insult activ movi free download sinc write begin becaus dont allow know conform happen assist director indian breakfast ke mai ke mai last week decemb session first visit new discuss visit bomb wa difficult last week outta head request server quest januari session start group begin session wa easi feel floor class 12 granul infanc servic offer sever option take home way go hear heart babi base price 11 hour day access privat room breakfast minut repli thank live without thi itna hotel home doesnt matter creat commun peopl get know complet way peopl home class goa train famili wish highest pay 24 hour day commit larg medium everyon 14 hour food allah miya famili purpos invest new light weight even live 730 simpl templ se effort requir form formal way say possibl come visit time help posit even dont speak come end make reserv call birth shop cook thi even also incorpor program way want enrol begin program,  maximum accord person never sex ever program design last week still come weekend away advise come week take beginning surface instruction gas example class go three week name inhabit end second third week Lil bit difficult enough enter insult activate movie free download since write beginning allow know conformity happen assistant director Indian breakfast Ke Mai Ke Mai last week December session first visit new discussion visit bomb difficult last week Outta Head request server quest January session start group beginning session easy feel floor class granule infancy service offer several option take home way go hear heart baby base price hour day access private room breakfast minute reply thank live without Itna hotel home matter create communicate people get know complete way people home class Goa train family wish high pay hour day commit large medium everyone hour food Allah Miya family purpose invest new light weight even live simple Temple se effort require form formal way say possible come visiting time help positive even speak come end make reservation call birth shopping cook evening also incorporate program way want enroll beginning program,0.0372138528138528,Positive,Clarify,Speaker_0
16,3,movi incom weekend away advis come week taken begin second dont instruct ga exampl class go three week name inhabit end second third week lil bit difficult enough enter insult activ movi free download sinc write begin becaus dont allow know conform happen analysi instructor near 100 km km last two week decemb session first visit ani resist visit bomb wa wa difficult last week dont head request server quest januari session start west group begin sun action wa easi feel floor class 12 ground rule infanc servic offer sever option take home way go hear heart babi base price 11 hour day access privat room breakfast battl cancer nich onlin without thi itna hotel home hasnt work mofo commun peopl get know becaus way help anoth class 2 class veri nice amit famili wish aadami health km 4 hour day commit larg mid day meal everyon 14 hour food allah miya famili purpos veri light weight even live 730 simpl templ se effort requir form formal way say possibl come visit us posit even dont speak make reserv call birth shop cook thi even also incorpor program way want enrol begin program would also expect give idea togeth christma day 1953 400 2nd 100 mile away ok,  movie income weekend away advise come week take beginning second instruction gas example class go three week name inhabit end second third week Lil bit difficult enough enter insult activate movie free download since write beginning allow know conformity happen analysis instructor near km km last two week December session first visit resistance visit bomb difficult last week head request server quest January session start west group beginning sun action easy feel floor class ground rule infancy service offer several option take home way go hear heart baby base price hour day access private room breakfast battle cancer niche online without Itna hotel home work mofo communicate people get know way help another class class nice Amit family wish aadami health km hour day commit large mid day meal everyone hour food Allah Miya family purpose light weight even live simple Temple se effort require form formal way say possible come visit us positive even speak make reservation call birth shopping cook evening also incorporate program way want enroll beginning program would also expect give idea together Christmas Day nd mile away ok,0.0624502164502164,Positive,Clarify,Speaker_0
17,4,vvr furnitur collect two devic take host famili home base price 11 hour day access privat room breakfast near nagpuri 2002 onlin without home idea summ experi commun peopl know becaus way help anoth class goa train famili wish aadami highest pay 24 hour day commit larg medium everyon 14 dollar food allah miya famili process activ light weight even alway 730 simpl templ se father form formal way say possibl outcom littl even dont come make reserv whatsapp incom thi weav also incorpor program way want enrol begin program would also expect give idea togeth price mighti power station se 400 100 per day weight ok,  vvr furniture collection two device take host family home base price hour day access private room breakfast near Nagpuri online without home idea summative experience communicate people know way help another class Goa train family wish aadami high pay hour day commit large medium everyone dollar food Allah Miya family process activity light weight even always simple Temple se father form formal way say possible outcome little even come make reservation WhatsApp incoming weaving also incorporate program way want enroll beginning program would also expect give idea together price Mighty power station se per day weight OK,0.071525974025974,Positive,Clarify,Speaker_0
18,5,time mexico run freedom want hums anyway altern accommod sbi help hi apart hotel nation bank need posit im even dont speak outstand contribut educ whatsapp think incorpor program,  time Mexico Run freedom want Humse anyways alternative accommodation SBI help Apartment Hotel National Bank need positive even speak outstanding contribution education WhatsApp thinking incorporate program,0.3636363636363636,Positive,Clarify,Speaker_0
19,6,fear file 19 50 hour medit c 400 2nd 100 dollar way ani inform pressur possibl anyon ok,  Fear Files hour meditation c nd dollar way information pressure possible anyone ok,0.25,Positive,Clarify,Speaker_0
20,7,ok ok name richard gana dress,  ok ok name Richard gana dress,0.5,Positive,Accept,Speaker_0
21,8,1602 hurst avenu h e r p valu berkeley california,  hurst Avenue h e r p value Berkeley California,0.0,Neutral,Clarify,Speaker_0
22,9,11, ,0.0,Neutral,Statement,Speaker_0
23,10,someth play around back first time us stand say place,  something play around back first time u stand say place,0.125,Positive,Clarify,Speaker_0
24,11,g n r 16 2 1st avenu 88th st berkeley california 94720 want talk send,  g n r st Avenue th St Berkeley California want talk send,0.0,Neutral,Other,Speaker_0
